task_id	task_type	premise_type	premise	hypothesis	label
boilWater-h5l377nj-autogen_dropped_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink.	pot was dropped by the robot.	N
makeCoffee-8y0779av-autogen_wrong_order_c	make coffee	observation	Robot attempts to turn off faucet. Robot sees pan (clean), potato is on top of pan, potato is on top of first countertop, pan is on top of first countertop, faucet (turned off).	Wrong plan - turn on faucet after turn off faucet	N
toastBread-bqxeylv0-autogen_wrong_order_c	toast bread	observation	Robot attempts to put knife on second countertop. Robot sees fridge (closed), knife is on top of  second countertop.	Wrong plan - slice bread after put knife on second countertop	N
boilWater-c2i275s4-autogen_wrong_order_c	boil water	observation	Robot attempts to turn on faucet. Robot sees microwave (open and turned off), faucet (turned on).	The robot fails because it turn on faucet before doing - put pot in sink	N
makeCoffee-8_pred_step_30_reflect_exp	make coffee	observation	Robot attempts to put mug in coffee machine. Robot sees nothing is inside robot gripper, coffee machine (turned off), mug (empty and dirty), mug is inside coffee machine, mug is on top of second countertop.	The robot failed to put the mug in the coffee machine because the mug was placed on top of the second countertop instead of inside the coffee machine.	C
heatPotato-0s124zaq-autogen_dropped_c	heat potato	observation	Robot attempts to move to microwave. Robot sees plate is inside robot gripper, egg (not sliced and not cracked), fridge (open), microwave on the right of garbage can.	plate was dropped by the robot.	C
boilWater-f4lfk1rw-autogen_action-failed_e	boil water	observation	Robot attempts to pick up pot. Robot sees nothing is inside robot gripper, mug is on the left of stove knob, mug (filled with water and clean), mug is on top of first countertop, pot is on top of Cup.	Failed to do (pick_up, Pot)	E
heatPotato-aktyolz9-autogen_blocking_c	heat potato	observation	Robot attempts to pick up potato. Robot sees television (turned off), laptop is on top of tv stand, laptop (closed and turned off), television is on top of tv stand, nothing is inside robot gripper, tv stand is below potato.	The robot failed to perform (pick_up, Potato) because tv stand is blocking potato	C
heatPotato-ridjqp07-autogen_action-failed_c	heat potato	observation	Robot attempts to pick up plate. Robot sees plate is inside robot gripper, potato is on top of first countertop, pan (clean), pan is on top of first countertop, potato is on top of pan.	The robot failed to perform heat potato because did not pick_up plate	C
makeCoffee-liestcox-autogen_dropped_e	make coffee	observation	Robot attempts to move to sink. Robot sees nothing is inside robot gripper, laptop (closed and turned off), sink beside toilet paper holder.	dropped mug while moving	E
heatPotato-5_gt_step_67_gt_exp	heat potato	observation	Robot attempts to move to microwave. Robot sees plate is inside robot gripper, microwave (closed and turned off).	The robot never opened the microwave, as a result, the plate cannot be put inside the microwave.	N
makeCoffee-xvzxt08l-autogen_missing_c	make coffee	observation	Robot attempts to put mug on countertop. Robot sees lettuce is inside fridge, fridge (open), countertop is on the left of coffee machine.	The robot can't put mug on countertop without doing pick up mug before.	N
makeCoffee-axg9oxpy-autogen_dropped_c	make coffee	observation	Robot attempts to move to sink. Robot sees mug is inside robot gripper, sink beside microwave.	mug was dropped by the robot.	C
toastBread-2qo1piq7-autogen_action-failed_e	toast bread	observation	Robot attempts to pick up knife. Robot sees nothing is inside robot gripper, egg (not sliced and not cracked), knife is on top of Bed.	The robot failed to perform toast bread because did not pick_up knife	E
heatPotato-1ty34gzz-autogen_action-failed_e	heat potato	observation	Robot attempts to pick up plate. Robot sees nothing is inside robot gripper, microwave (open and turned off), plate is inside TVStand.	Failed to do (pick_up, Plate)	E
boilWater-i222xoye-autogen_action-failed_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink.	Failed to do (put_in, Pot, Sink)	N
boilWater-jhxqepq0-autogen_missing_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot, move to stove burner, put pot on fourth stove burner.	The robot failed because the step of pick up pot is missing before put pot on fourth stove burner	C
makeCoffee-1iz9o5cc-autogen_missing_c	make coffee	observation	Robot attempts to put mug on countertop. Robot sees countertop is on the left of teddybear.	Robot failed to execute - pick up mug) because it did not do put mug on countertop before executing it.	N
boilWater-blo8pj27-autogen_blocking_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot.	pot is being blocked by sink	N
makeCoffee-5noj3hur-autogen_wrong_order_e	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, turn on faucet, turn off faucet, pick up mug, pour mug into sink, move to coffee machine, turn on coffee machine, put mug in coffee machine.	Wrong plan - put mug in coffee machine after turn on coffee machine	E
boilWater-fkrqghq2-autogen_missing_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, move to stove burner, put pot on fourth stove burner.	The robot failed because there is no pick up pot action in the plan before put pot on fourth stove burner.	E
heatPotato-4ssihy3p-autogen_wrong_order_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, pick up plate, put potato on plate.	The robot fails because it pick up plate before doing - put potato on plate	E
heatPotato-j7oc8pdf-autogen_action-failed_e	heat potato	observation	Robot attempts to pick up potato. Robot sees nothing is inside robot gripper, fridge (open), lettuce is inside fridge, potato is inside Safe.	The robot failed to perform heat potato because it failed to execute (pick_up, Potato).	E
boilWater-js7aeipz-autogen_wrong_order_e	boil water	observation	Robot attempts to put pot in sink. Robot sees microwave (open and turned off), pot is inside sink.	The robot fails because it turn on faucet before doing - put pot in sink	N
heatPotato-3_gt_step_37_reflect_exp	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, move to plate, put potato on plate.	The robot failed to put the potato on the plate as instructed. the failure was caused by the robot not properly releasing the potato from its gripper, resulting in the potato being dropped on the dining table instead of being placed on the plate.	N
waterPlant-6_gt_step_44_reflect_exp	water plant	plan	To water plant, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, toggle on faucet, toggle off faucet, move to bowl, pick up container.	The failure occurred at 00:56 when the robot attempted to pour liquid from the bowl into the house plant, but the bowl was still inside the robot gripper. the failure was caused by the robot's inability to release the bowl before pouring the liquid.	N
heatPotato-scpy3gm7-autogen_blocking_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate.	Robot could not pick up plate because laptop is blocking plate	N
makeCoffee-mr15p31x-autogen_wrong_order_e	make coffee	observation	Robot attempts to put mug in coffee machine. Robot sees faucet (turned off), mug is inside coffee machine.	Wrong plan - put mug in coffee machine after turn on coffee machine	N
boilWater-er04horp-autogen_wrong_order_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, move to fourth stove burner, put pot on fourth stove burner, turn on fourth stove burner.	The robot fails because it turn on fourth stove burner before doing - put pot on fourth stove burner	C
heatPotato-zuuaelwn-autogen_missing_e	heat potato	observation	Robot attempts to put potato on plate. Robot sees nothing is inside robot gripper, plate is beside egg.	The robot failed because the step of pick up potato is missing before put potato on plate	E
heatPotato-esjaoafc-autogen_action-failed_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato.	Failed to do (pick_up, Potato)	N
waterPlant-4_gt_step_31_gt_exp	water plant	observation	Robot attempts to put pot in sink. Robot sees nothing is inside robot gripper, pot (empty and clean), pot is inside sink.	Wrong order - faucet is turned on and off before pot is put in the sink	N
waterPlant-1_gt_step_25_gt_exp	water plant	observation	Robot attempts to put pot in sink. Robot sees nothing is inside robot gripper, pot (filled with wine and clean), pot is inside sink, pot is on the right of soap bottle.	Incomplete plan - pot is filled with wine already	E
boilWater-ielb8pfs-autogen_blocking_e	boil water	observation	Robot attempts to pick up pot. Robot sees nothing is inside robot gripper, mug is inside sink, mug (filled with water and clean), faucet (turned off), pot is below coffee machine.	The robot failed to perform (pick_up, Pot) because coffee machine is blocking pot	E
